,DMA Code,DMA Name,median,median_male_age, median_female_age
0,500,Portland-Auburn,44.80061679601299,43.397339713867744,46.263262502789416
1,501,New York,39.228013088141665,37.718573114603814,40.67257629817785
2,502,Binghamton,42.325976625906286,40.645054347172625,43.86065781721555
3,503,Macon,38.2369136056307,36.55121547488148,40.12039444081898
4,504,Philadelphia,39.39342064308467,37.82976538306081,40.9096293795834
5,505,Detroit,40.19685755673476,38.633866221638385,41.714474056611934
6,506,Boston (Manchester),40.08068783743429,38.78112462428499,41.34164161899952
7,507,Savannah,36.806363491231195,35.40549800742115,38.13624631270384
8,508,Pittsburgh,42.70876297190423,40.85692228670817,44.52722851533109
9,509,Ft. Wayne,38.01130850119158,36.79119301912896,39.23423891244247
10,510,Cleveland-Akron (Canton),41.17232663815668,39.52530649281558,42.84315904677809
11,511,"Washington, Dc (Hagrstwn)",38.48094650572529,37.35243248980169,39.60622801932893
12,512,Baltimore,39.346707812523086,37.87495790144768,40.78403693808462
13,513,Flint-Saginaw-Bay City,41.60955587350871,40.066613860583125,43.13979313062497
14,514,Buffalo,40.18186764099681,38.50562355880332,41.804482843045406
15,515,Cincinnati,38.20727523262734,36.93636627298001,39.5199817052967
16,516,Erie,41.23851774898761,40.13427554174883,42.56005103558875
17,517,Charlotte,38.82046457573084,37.684811884582466,39.968408174302056
18,518,Greensboro-H.Point-W.Salem,40.48649472828182,39.112997155624676,41.702712877118266
19,519,"Charleston, Sc",38.66315923688526,37.1948742267012,40.15819221975413
20,520,Augusta-Aiken,39.253686786768405,37.69387051545364,40.74841940001269
21,521,Providence-New Bedford,40.531974481509145,38.859287187272336,42.21035044744337
22,522,"Columbus, Ga (Opelika, Al)",35.83689202309949,34.16004208517851,37.58324407712008
23,523,Burlington-Plattsburgh,42.88429135516775,41.47322039800716,44.41567101220533
24,524,Atlanta,37.282068100530495,36.11439758358161,38.38968015688657
25,525,"Albany, Ga",37.81991892452899,36.181461556307156,39.713079524780525
26,526,Utica,44.376035230625675,42.827495397573955,45.81453610067334
27,527,Indianapolis,37.421084738863705,36.22236335241039,38.603705024636795
28,528,Miami-Ft. Lauderdale,40.4458717010471,39.01807154783738,41.814796107846426
29,529,Louisville,39.26392502143865,37.9099993056077,40.646471442693155
30,530,Tallahassee-Thomasville,35.87637665883649,34.489715015135104,37.33512959515253
31,531,"Tri-Cities, Tn-Va",44.44517217427114,42.86210993141179,46.04319910651569
32,532,Albany-Schenectady-Troy,42.29195230847579,40.860796421254875,43.75650709209597
33,533,Hartford & New Haven,41.233143543838096,39.40691177472915,42.900859478730645
34,534,Orlando-Daytona Bch-Melbrn,42.366735976688034,41.07844823940307,43.69718660026909
35,535,"Columbus, Oh",36.94625111303495,35.96953601640209,37.9361597505721
36,536,Youngstown,44.16656255024358,42.32257843463221,46.28177556745011
37,537,Bangor,45.47312021468357,44.32818707145879,46.520864704143555
38,538,"Rochester, Ny",38.80851848811721,37.395348044597334,40.17920473814764
39,539,Tampa-St. Pete (Sarasota),44.641107722767885,43.36001625060612,45.78293752891993
40,540,Traverse City-Cadillac,40.153247453975354,38.69352684107845,41.57628812095792
41,541,Lexington,38.70100609714136,37.41638620122249,39.909877766614215
42,542,Dayton,39.88938079135379,38.2740400649792,41.63653596233859
43,543,Springfield-Holyoke,39.52055138095763,37.87464973222606,40.90255605644368
44,544,Norfolk-Portsmth-Newpt Nws,38.59355398753132,37.12291301373276,40.115969919080435
45,545,Greenville-N.Bern-Washngtn,36.96609008467211,34.95557605027277,39.44501263297629
46,546,"Columbia, Sc",37.748619623242774,36.038313419500646,39.40466550944491
47,547,Toledo,39.516950388874676,37.9584617424996,40.917686645636174
48,548,West Palm Beach-Ft. Pierce,48.8964987791354,47.39470016176367,50.44213837081178
49,549,Watertown,39.5907927519002,38.0388090552983,41.25229980100623
50,550,Wilmington,44.27165425112125,42.86949721853285,45.79883582606687
51,551,Lansing,37.579491171061505,36.24430226586744,38.86556092179707
52,552,Presque Isle,48.0,46.9,49.4
53,553,Marquette,43.56069489122602,41.68677898088272,45.266562421993115
54,554,Wheeling-Steubenville,45.564901883516306,44.000268458028806,47.004832244518475
55,555,Syracuse,39.029013550688624,37.735357871393006,40.45647385822089
56,556,Richmond-Petersburg,39.661144938297156,38.40358843509628,40.9337293655678
57,557,Knoxville,40.76090039570296,39.36312673925946,42.25730308359328
58,558,Lima,39.79910393577292,38.30400596644969,41.43755847175533
59,559,Bluefield-Beckley-Oak Hill,42.98132138923674,41.70779866687103,44.29185739781235
60,560,Raleigh-Durham (Fayetvlle),37.48646525422404,36.12881107785798,38.88877429547675
61,561,Jacksonville,42.496382521155255,41.08314763589128,44.10125591085588
62,563,Grand Rapids-Kalmzoo-B.Crk,38.24496246714181,37.11780239695401,39.36869085526137
63,564,Charleston-Huntington,42.47384663988807,40.904280453129935,43.997645980954104
64,565,Elmira (Corning),42.96928806767214,41.521824515220366,44.42532046176675
65,566,Harrisburg-Lncstr-Leb-York,40.51535338777581,39.09818950582933,41.94202451484517
66,567,Greenvll-Spart-Ashevll-And,39.64559756840191,38.2532142521576,41.041403743312344
67,569,Harrisonburg,43.30521176614183,42.29860490662762,44.45147809105333
68,570,Myrtle Beach-Florence,42.229261467210684,40.68839386258634,43.61813588067606
69,571,Ft. Myers-Naples,42.791000541163655,41.31180141469339,44.18899339755994
70,573,Roanoke-Lynchburg,44.4886301457701,42.80602293183621,45.99676173309204
71,574,Johnstown-Altoona-St Colge,42.55677269280485,41.02753684199164,44.20299309980058
72,575,Chattanooga,38.78892323347475,37.556952626786995,39.98613381445507
73,576,Salisbury,45.81822192534487,44.197545646772625,47.32281402113596
74,577,Wilkes Barre-Scranton-Hztn,42.338522442936046,40.832467275570636,43.92330551673654
75,581,Terre Haute,39.65307832383678,38.07602570743508,41.3430671629437
76,582,"Lafayette, In",28.933760402382212,27.40362876676386,30.54236944113031
77,583,Alpena,50.9917196796044,49.513021866227106,52.177518221855934
78,584,Charlottesville,40.901524849489356,39.78730007068516,42.09220415823726
79,588,South Bend-Elkhart,37.86048453303983,36.625094276155025,39.07565915980163
80,592,Gainesville,34.75798749669398,33.529049696427165,36.32004568851015
81,596,Zanesville,40.5,39.2,42.0
82,597,Parkersburg,44.047411236280176,42.37412551541816,45.32959535975694
83,598,Clarksburg-Weston,42.859400744310356,41.75300019783575,44.18688348967335
84,600,Corpus Christi,36.00761907775106,34.95856906875903,37.1638858545423
85,602,Chicago,37.80387324480114,36.5851180639357,39.04556119276518
86,603,Joplin-Pittsburg,39.16092212759929,37.66572638405717,40.71515056590111
87,604,Columbia-Jefferson City,37.004148509674046,36.1300546992372,38.018301833544996
88,605,Topeka,36.56714069833556,35.446332235810935,37.62681204694773
89,606,Dothan,40.24169295478444,38.57419965153853,42.03838640846746
90,609,St. Louis,39.25756558415376,37.8190425621063,40.75835491256887
91,610,Rockford,40.78533822823441,39.56671510132703,41.97050843534616
92,611,Rochestr-Mason City-Austin,40.234008240580195,38.876921847658465,41.364183039959094
93,612,Shreveport,38.4585948375068,37.10600462847894,39.748503807200464
94,613,Minneapolis-St. Paul,38.38671630424116,37.471726577378085,39.31114865480957
95,616,Kansas City,37.19485816219877,36.10119375473383,38.28725147054051
96,617,Milwaukee,38.99526315089925,37.75534681826893,40.28196473828115
97,618,Houston,34.92402252639833,34.196664102619955,35.601985484318924
98,619,"Springfield, Mo",40.24708874469518,39.06942846921363,41.53151865229429
99,622,New Orleans,38.461310646461115,37.36035146567503,39.49032892882567
100,623,Dallas-Ft. Worth,35.542354410739556,34.70337471276804,36.41799908282485
101,624,Sioux City,38.54790066632167,37.41972519804263,39.7935846999408
102,625,Waco-Temple-Bryan,34.63524158485445,33.78335899161134,35.518035621250405
103,626,Victoria,35.9,35.0,37.2
104,627,Wichita Falls & Lawton,36.92815670371673,35.49418196685461,38.69272722086467
105,628,Monroe-El Dorado,37.52367811949641,35.644156353971596,39.367527505883004
106,630,Birmingham (Ann And Tusc),39.71921103867515,38.199352742446884,41.221842013565286
107,631,Ottumwa-Kirksville,38.62901121857483,37.78146822201137,39.562052193881215
108,632,Paducah-Cape Girard-Harsbg,39.47982802119978,38.12902485046995,40.975309404035194
109,633,Odessa-Midland,33.09628621005935,32.66946257154948,33.50198161935172
110,634,Amarillo,34.858406075242655,34.07900845722261,35.85907347039972
111,635,Austin,35.881306505420824,35.263981770491014,36.555849672276075
112,636,Harlingen-Wslco-Brnsvl-Mca,30.153237652907126,28.69396130553808,31.793776023344385
113,637,Cedar Rapids-Wtrlo-Iwc&Dub,37.86549389266592,36.992745504262366,38.84579487811751
114,638,St. Joseph,39.42976248303005,37.85056608003587,41.338682758534794
115,639,"Jackson, Tn",40.19930824852596,38.47230145715413,41.97620863224457
116,640,Memphis,38.57472558081811,37.07931175582919,39.99673472687197
117,641,San Antonio,35.93715082099689,34.94812677345375,36.9679070986036
118,642,"Lafayette, La",36.52751011134433,35.50303810241436,37.556067878324214
119,643,Lake Charles,36.72275313439402,35.55049710389325,37.952784295036295
120,644,"Alexandria, La",36.30032454277408,34.55889564733294,38.328608012536336
121,647,Greenwood-Greenville,37.10585705508909,34.92752576967711,39.483247434409634
122,648,Champaign&Sprngfld-Decatur,38.68025051224381,37.236164571163705,40.04408235932389
123,649,Evansville,40.29265543370045,39.01965273330455,41.60640475527177
124,650,Oklahoma City,35.75586884068261,34.66192523677864,36.90786763187947
125,651,Lubbock,32.01736062477451,30.932543664183697,33.46213981027567
126,652,Omaha,37.0136191115058,36.0342925117696,38.14390935016501
127,656,Panama City,42.01980132484051,40.10479452752277,44.381278353979866
128,657,Sherman-Ada,39.104252285139815,37.88688864488714,40.34860039642363
129,658,Green Bay-Appleton,39.750082570826784,38.61945794312576,40.93191479817353
130,659,Nashville,37.374842710156074,36.12185743894051,38.62415976566033
131,661,San Angelo,33.67309946135208,32.39005252871418,35.08799000113149
132,662,Abilene-Sweetwater,36.91924643064571,35.27497526822014,38.97221871190508
133,669,Madison,38.03882403732138,36.942303844406176,39.23474504183674
134,670,Ft. Smith-Fay-Sprngdl-Rgrs,36.241575724831385,35.277699912854075,37.25777729300583
135,671,Tulsa,38.27335839545464,37.0145540674921,39.56986450790667
136,673,Columbus-Tupelo-West Point,38.176881842926484,36.52368939267565,39.46858590708064
137,675,Peoria-Bloomington,38.89792352925856,37.74709769688679,40.2277184356631
138,676,Duluth-Superior,41.91246281256829,40.893811905617945,42.99321540863877
139,678,Wichita-Hutchinson Plus,37.3577756050799,36.08104057268486,38.69604654937199
140,679,Des Moines-Ames,37.39714437656767,36.22517880460463,38.690567178537016
141,682,Davenport-R.Island-Moline,41.42153591828435,40.120067656247116,42.80405884667489
142,686,Mobile-Pensacola (Ft Walt),39.042775658352724,37.37629000204193,40.705967478787215
143,687,Bismarck-Mnt-Dcknsn(Wlstn),36.767729598071796,35.9734564573979,37.68822769522362
144,691,Huntsville-Decatur (Flor),38.66571127663625,37.12145420188731,39.981114165072
145,692,Beaumont-Port Arthur,38.13575166293304,36.74374449092965,39.46709778949224
146,693,Little Rock-Pine Bluff,39.331301440800225,37.96427482842045,40.76651514627415
147,698,Montgomery-Selma,38.64587353571383,36.888095176997396,40.49615195858299
148,702,La Crosse-Eau Claire,38.8346477245983,38.03927109408988,39.7104794711055
149,705,Wausau-Rhinelander,44.27293105225188,43.30226308313431,45.27028149070883
150,709,Tyler-Longview(Lfkn&Ncgd),37.986541989787504,36.65474074868941,39.23793449556508
151,710,Hattiesburg-Laurel,36.90562947182249,36.145174451322454,37.71846410483158
152,711,Meridian,38.66305531833066,37.174836126302935,40.46959895482799
153,716,Baton Rouge,38.08215203767305,36.92922706511348,39.297242974660385
154,717,Quincy-Hannibal-Keokuk,37.668082928560935,36.43222209814595,38.932116837759736
155,718,"Jackson, Ms",37.82982013619429,36.2972979034085,39.17749423425964
156,722,Lincoln & Hastings-Krny,37.659183921044786,36.5940255213381,38.79818530804474
157,724,Fargo,38.07287690022864,37.285219512244105,38.918542837547584
158,725,Sioux Falls(Mitchell),37.52132072643235,36.615622078633145,38.48546581988714
159,734,Jonesboro,37.586807160661685,36.145016995241335,39.10082256968049
160,736,Bowling Green,36.50067903177851,35.30006864648372,37.84692577434983
161,737,Mankato,36.5962958455177,35.54756499485935,37.56155078038672
162,740,North Platte,37.08653026245313,36.128141556354734,38.1053249674803
163,743,Anchorage,34.8999601237758,34.35967485812925,35.47339635549034
164,744,Honolulu,39.48283837147216,38.06073365181828,41.089738722124935
165,745,Fairbanks,31.84762921625572,31.19848717802707,32.311503710874476
166,746,Biloxi-Gulfport,37.59275814473909,36.553692798980734,38.68740536258279
167,747,Juneau,38.59341597053804,37.63743225845085,39.007784664211506
168,749,Laredo,28.95419523331834,27.719707357570307,30.20839046663669
169,751,Denver,37.09264065504485,36.24881129834248,37.97929435673519
170,752,Colorado Springs-Pueblo,36.828365584742386,35.29544007822998,38.509978969266655
171,753,Phoenix (Prescott),38.229292626204305,37.10254659919594,39.387912057725195
172,754,Butte-Bozeman,38.02024019340247,36.9703948633965,39.05106865268138
173,755,Great Falls,38.772379767778176,37.34958013200102,40.18935421861702
174,756,Billings,40.98013451704644,40.10799006345274,41.96048769348935
175,757,Boise,36.87510070436396,36.04663545437737,37.88217953229279
176,758,Idaho Fals-Pocatllo(Jcksn),33.963331043662265,33.54468154701248,34.252342383824356
177,759,Cheyenne-Scottsbluff,38.51850386503708,37.46694283401233,39.77115128486368
178,760,Twin Falls,35.84566613040693,35.20661667179391,36.38075062913857
179,762,Missoula,41.574275043028166,40.69476026710866,42.719917984023105
180,764,Rapid City,39.8249350851972,38.79831017202887,40.933261639159134
181,765,El Paso (Las Cruces),35.96592027794253,34.46956316786562,37.53043243881862
182,766,Helena,43.61846659316841,42.447945119913555,44.843818494701566
183,767,Casper-Riverton,38.51879701306613,38.27765891186355,38.77891487512235
184,770,Salt Lake City,31.585369384886135,31.006628838741715,32.12672848961857
185,771,Yuma-El Centro,33.741853858872744,32.46389833660713,35.32779667321425
186,773,Grand Junction-Montrose,41.19103471589105,39.782758832628225,42.39931059915387
187,789,Tucson (Sierra Vista),38.88235527175959,37.20435125694174,40.7922120457742
188,790,Albuquerque-Santa Fe,39.304727815987434,37.83142200168077,40.690727119083064
189,798,Glendive,42.95671940717004,42.50362507510515,44.774904866813536
190,801,Eugene,40.913451336501545,39.42512781261498,42.443280231390126
191,802,Eureka,39.08597375956238,38.384533527073806,39.93957434078379
192,803,Los Angeles,37.15571716654664,35.98563841678051,38.36551554159938
193,807,San Francisco-Oak-San Jose,39.073068671349816,37.97601608978974,40.1579634702261
194,810,Yakima-Pasco-Rchlnd-Knnwck,34.3302969915232,33.48640232663809,35.14946451998258
195,811,Reno,40.343742058363,39.4277046653787,41.504635046768556
196,813,Medford-Klamath Falls,44.7448083343569,43.40552139977891,46.28979599584622
197,819,Seattle-Tacoma,38.28024226286217,37.20609780495086,39.411195181836874
198,820,"Portland, Or",39.054185483514466,38.11456964967508,39.918341540619956
199,821,"Bend, Or",42.4,41.4,43.5
200,825,San Diego,36.1,34.8,37.5
201,828,Monterey-Salinas,36.025582849416566,35.36721584381277,36.763133357822255
202,839,Las Vegas,37.82555264027177,37.112475187064845,38.52832524038662
203,855,Santabarbra-Sanmar-Sanluob,36.63602476975499,35.5226543687294,37.838578718340315
204,862,Sacramnto-Stkton-Modesto,36.86362814843595,35.628831315747526,38.11622867874741
205,866,Fresno-Visalia,32.232120737527495,31.51822407090306,32.970491298411325
206,868,Chico-Redding,39.53246313252919,38.124877140715284,41.083263824454086
207,881,Spokane,39.17599775840598,38.26150319634703,40.152191780821916
