,DMA Code,DMA Name,universe,received_snap_in_past_12_months,received_snap_in_past_12_months_income_below_poverty,received_snap_in_past_12_months_income_atorabove_poverty,not_received_snap_in_past_12_months,not_received_snap_in_past_12_months_income_below_poverty,not_received_snap_in_past_12_months_income_atorabove_poverty
0,500,Portland-Auburn,428888.0,46318.0,20498.0,25820.0,382570.0,23068.0,359502.0
1,501,New York,7792301.0,959448.0,443759.0,515689.0,6832853.0,512497.0,6320356.0
2,502,Binghamton,139935.0,21278.0,10907.0,10371.0,118657.0,10748.0,107909.0
3,503,Macon,246612.0,41028.0,22921.0,18107.0,205584.0,26202.0,179382.0
4,504,Philadelphia,3077379.0,377217.0,167592.0,209625.0,2700162.0,190807.0,2509355.0
5,505,Detroit,3472241.0,405350.0,191903.0,213447.0,3066891.0,222849.0,2844042.0
6,506,Boston (Manchester),2551432.0,243640.0,106256.0,137384.0,2307792.0,136676.0,2171116.0
7,507,Savannah,2074659.0,252085.0,115392.0,136693.0,1822574.0,165136.0,1657438.0
8,508,Pittsburgh,1209090.0,157004.0,70959.0,86045.0,1052086.0,72754.0,979332.0
9,509,Ft. Wayne,810464.0,62861.0,32370.0,30491.0,747603.0,48887.0,698716.0
10,510,Cleveland-Akron (Canton),1582195.0,209821.0,108532.0,101289.0,1372374.0,107997.0,1264377.0
11,511,"Washington, Dc (Hagrstwn)",3200614.0,236970.0,90750.0,146220.0,2963644.0,153081.0,2810563.0
12,512,Baltimore,1669267.0,176821.0,67581.0,109240.0,1492446.0,88160.0,1404286.0
13,513,Flint-Saginaw-Bay City,470747.0,77568.0,39807.0,37761.0,393179.0,34590.0,358589.0
14,514,Buffalo,3257619.0,491303.0,229181.0,262122.0,2766316.0,213013.0,2553303.0
15,515,Cincinnati,941288.0,93008.0,49771.0,43237.0,848280.0,62250.0,786030.0
16,516,Erie,162681.0,27093.0,12790.0,14303.0,135588.0,10141.0,125447.0
17,517,Charlotte,1257186.0,128306.0,58244.0,70062.0,1128880.0,90887.0,1037993.0
18,518,Greensboro-H.Point-W.Salem,726606.0,97352.0,47705.0,49647.0,629254.0,59910.0,569344.0
19,519,"Charleston, Sc",353691.0,32954.0,16790.0,16164.0,320737.0,28425.0,292312.0
20,520,Augusta-Aiken,2670119.0,321909.0,164973.0,156936.0,2348210.0,232649.0,2115561.0
21,521,Providence-New Bedford,635095.0,96356.0,42139.0,54217.0,538739.0,34316.0,504423.0
22,522,"Columbus, Ga (Opelika, Al)",223485.0,34420.0,18720.0,15700.0,189065.0,25036.0,164029.0
23,523,Burlington-Plattsburgh,367308.0,38769.0,17605.0,21164.0,328539.0,23926.0,304613.0
24,524,Atlanta,3689275.0,390201.0,169570.0,220631.0,3299074.0,275357.0,3023717.0
25,525,"Albany, Ga",151199.0,30916.0,17634.0,13282.0,120283.0,16152.0,104131.0
26,526,Utica,65043.0,7759.0,3800.0,3959.0,57284.0,4107.0,53177.0
27,527,Indianapolis,1192922.0,109597.0,57005.0,52592.0,1083325.0,89964.0,993361.0
28,528,Miami-Ft. Lauderdale,1639936.0,310556.0,115983.0,194573.0,1329380.0,134248.0,1195132.0
29,529,Louisville,693773.0,68781.0,37678.0,31103.0,624992.0,49265.0,575727.0
30,530,Tallahassee-Thomasville,285883.0,44768.0,21444.0,23324.0,241115.0,33633.0,207482.0
31,531,"Tri-Cities, Tn-Va",316595.0,48173.0,27577.0,20596.0,268422.0,29197.0,239225.0
32,532,Albany-Schenectady-Troy,568640.0,61763.0,27007.0,34756.0,506877.0,31940.0,474937.0
33,533,Hartford & New Haven,1040367.0,131735.0,55643.0,76092.0,908632.0,52620.0,856012.0
34,534,Orlando-Daytona Bch-Melbrn,1598627.0,200357.0,71478.0,128879.0,1398270.0,119054.0,1279216.0
35,535,"Columbus, Oh",994269.0,114431.0,59488.0,54943.0,879838.0,64398.0,815440.0
36,536,Youngstown,273239.0,42937.0,23440.0,19497.0,230302.0,19330.0,210972.0
37,537,Bangor,147271.0,22932.0,11323.0,11609.0,124339.0,10379.0,113960.0
38,538,"Rochester, Ny",4259319.0,616860.0,289780.0,327080.0,3642459.0,305048.0,3337411.0
39,539,Tampa-St. Pete (Sarasota),1935134.0,225044.0,89368.0,135676.0,1710090.0,146971.0,1563119.0
40,540,Traverse City-Cadillac,1731468.0,284131.0,145974.0,138157.0,1447337.0,136418.0,1310919.0
41,541,Lexington,511466.0,77862.0,47751.0,30111.0,433604.0,48725.0,384879.0
42,542,Dayton,495461.0,59724.0,30489.0,29235.0,435737.0,33700.0,402037.0
43,543,Springfield-Holyoke,270889.0,48190.0,22735.0,25455.0,222699.0,15920.0,206779.0
44,544,Norfolk-Portsmth-Newpt Nws,1355608.0,130478.0,62616.0,67862.0,1225130.0,88134.0,1136996.0
45,545,Greenville-N.Bern-Washngtn,316394.0,48075.0,23323.0,24752.0,268319.0,28201.0,240118.0
46,546,"Columbia, Sc",428426.0,56130.0,28079.0,28051.0,372296.0,41371.0,330925.0
47,547,Toledo,434058.0,54429.0,28162.0,26267.0,379629.0,32463.0,347166.0
48,548,West Palm Beach-Ft. Pierce,1091652.0,109914.0,42435.0,67479.0,981738.0,83207.0,898531.0
49,549,Watertown,708118.0,81817.0,38077.0,43740.0,626301.0,43975.0,582326.0
50,550,Wilmington,215165.0,26908.0,12667.0,14241.0,188257.0,19231.0,169026.0
51,551,Lansing,269293.0,28655.0,13658.0,14997.0,240638.0,21350.0,219288.0
52,552,Presque Isle,29594.0,5447.0,2811.0,2636.0,24147.0,1981.0,22166.0
53,553,Marquette,89826.0,10010.0,5200.0,4810.0,79816.0,7853.0,71963.0
54,554,Wheeling-Steubenville,131853.0,19009.0,9684.0,9325.0,112844.0,9862.0,102982.0
55,555,Syracuse,363356.0,48200.0,23633.0,24567.0,315156.0,25428.0,289728.0
56,556,Richmond-Petersburg,1250617.0,93365.0,41452.0,51913.0,1157252.0,75718.0,1081534.0
57,557,Knoxville,869815.0,119043.0,66702.0,52341.0,750772.0,74605.0,676167.0
58,558,Lima,73326.0,7565.0,3926.0,3639.0,65761.0,4179.0,61582.0
59,559,Bluefield-Beckley-Oak Hill,859421.0,146347.0,79465.0,66882.0,713074.0,69701.0,643373.0
60,560,Raleigh-Durham (Fayetvlle),1242329.0,141161.0,66178.0,74983.0,1101168.0,90597.0,1010571.0
61,561,Jacksonville,1317936.0,169228.0,71442.0,97786.0,1148708.0,96232.0,1052476.0
62,563,Grand Rapids-Kalmzoo-B.Crk,1142395.0,120289.0,54879.0,65410.0,1022106.0,77315.0,944791.0
63,564,Charleston-Huntington,447236.0,87432.0,52622.0,34810.0,359804.0,37888.0,321916.0
64,565,Elmira (Corning),98271.0,13630.0,6748.0,6882.0,84641.0,6027.0,78614.0
65,566,Harrisburg-Lncstr-Leb-York,795432.0,74509.0,30326.0,44183.0,720923.0,40610.0,680313.0
66,567,Greenvll-Spart-Ashevll-And,4937757.0,577406.0,278624.0,298782.0,4360351.0,389910.0,3970441.0
67,569,Harrisonburg,64665.0,3945.0,1623.0,2322.0,60720.0,4337.0,56383.0
68,570,Myrtle Beach-Florence,305861.0,50288.0,26610.0,23678.0,255573.0,29655.0,225918.0
69,571,Ft. Myers-Naples,2395364.0,370228.0,142244.0,227984.0,2025136.0,188198.0,1836938.0
70,573,Roanoke-Lynchburg,340753.0,32282.0,15797.0,16485.0,308471.0,29114.0,279357.0
71,574,Johnstown-Altoona-St Colge,300840.0,42008.0,19734.0,22274.0,258832.0,21527.0,237305.0
72,575,Chattanooga,1645718.0,180568.0,93162.0,87406.0,1465150.0,122094.0,1343056.0
73,576,Salisbury,176968.0,24020.0,9412.0,14608.0,152948.0,11498.0,141450.0
74,577,Wilkes Barre-Scranton-Hztn,2369152.0,269382.0,115348.0,154034.0,2099770.0,127221.0,1972549.0
75,581,Terre Haute,148016.0,18985.0,10260.0,8725.0,129031.0,10982.0,118049.0
76,582,"Lafayette, In",75121.0,5522.0,3269.0,2253.0,69599.0,10389.0,59210.0
77,583,Alpena,17884.0,2753.0,1450.0,1303.0,15131.0,1351.0,13780.0
78,584,Charlottesville,78863.0,3145.0,1368.0,1777.0,75718.0,4443.0,71275.0
79,588,South Bend-Elkhart,1213985.0,122847.0,64255.0,58592.0,1091138.0,95105.0,996033.0
80,592,Gainesville,131884.0,15668.0,7407.0,8261.0,116216.0,18076.0,98140.0
81,596,Zanesville,33797.0,6211.0,2886.0,3325.0,27586.0,2146.0,25440.0
82,597,Parkersburg,62814.0,8991.0,4864.0,4127.0,53823.0,4540.0,49283.0
83,598,Clarksburg-Weston,106478.0,16496.0,9014.0,7482.0,89982.0,8129.0,81853.0
84,600,Corpus Christi,210360.0,35996.0,17726.0,18270.0,174364.0,19821.0,154543.0
85,602,Chicago,4754444.0,537014.0,231919.0,305095.0,4217430.0,311694.0,3905736.0
86,603,Joplin-Pittsburg,250571.0,32841.0,18377.0,14464.0,217730.0,22259.0,195471.0
87,604,Columbia-Jefferson City,186806.0,16598.0,8610.0,7988.0,170208.0,16982.0,153226.0
88,605,Topeka,185284.0,13030.0,6547.0,6483.0,172254.0,16788.0,155466.0
89,606,Dothan,100464.0,15469.0,8273.0,7196.0,84995.0,8874.0,76121.0
90,609,St. Louis,2152945.0,228533.0,114518.0,114015.0,1924412.0,150534.0,1773878.0
91,610,Rockford,188909.0,30730.0,13829.0,16901.0,158179.0,11141.0,147038.0
92,611,Rochestr-Mason City-Austin,155840.0,12068.0,5662.0,6406.0,143772.0,8698.0,135074.0
93,612,Shreveport,572668.0,89731.0,48497.0,41234.0,482937.0,58196.0,424741.0
94,613,Minneapolis-St. Paul,3640970.0,286848.0,128412.0,158436.0,3354122.0,204440.0,3149682.0
95,616,Kansas City,1004203.0,76674.0,37450.0,39224.0,927529.0,68836.0,858693.0
96,617,Milwaukee,934203.0,115020.0,52454.0,62566.0,819183.0,56861.0,762322.0
97,618,Houston,2536769.0,283531.0,119335.0,164196.0,2253238.0,203387.0,2049851.0
98,619,"Springfield, Mo",635684.0,70171.0,36449.0,33722.0,565513.0,56284.0,509229.0
99,622,New Orleans,684250.0,95981.0,50400.0,45581.0,588269.0,64208.0,524061.0
100,623,Dallas-Ft. Worth,2864380.0,248964.0,104235.0,144729.0,2615416.0,196707.0,2418709.0
101,624,Sioux City,1433160.0,139310.0,63807.0,75503.0,1293850.0,94968.0,1198882.0
102,625,Waco-Temple-Bryan,5143183.0,573911.0,254655.0,319256.0,4569272.0,429385.0,4139887.0
103,626,Victoria,32520.0,4266.0,1922.0,2344.0,28254.0,2611.0,25643.0
104,627,Wichita Falls & Lawton,158113.0,22336.0,11713.0,10623.0,135777.0,12901.0,122876.0
105,628,Monroe-El Dorado,173023.0,31319.0,18564.0,12755.0,141704.0,21654.0,120050.0
106,630,Birmingham (Ann And Tusc),1545288.0,197204.0,107386.0,89818.0,1348084.0,131001.0,1217083.0
107,631,Ottumwa-Kirksville,47752.0,6163.0,2875.0,3288.0,41589.0,4798.0,36791.0
108,632,Paducah-Cape Girard-Harsbg,826535.0,120928.0,68674.0,52254.0,705607.0,78342.0,627265.0
109,633,Odessa-Midland,163344.0,15380.0,7232.0,8148.0,147964.0,13828.0,134136.0
110,634,Amarillo,195925.0,23013.0,11912.0,11101.0,172912.0,16419.0,156493.0
111,635,Austin,855075.0,54223.0,21433.0,32790.0,800852.0,60948.0,739904.0
112,636,Harlingen-Wslco-Brnsvl-Mca,393009.0,107195.0,60434.0,46761.0,285814.0,44744.0,241070.0
113,637,Cedar Rapids-Wtrlo-Iwc&Dub,367298.0,31347.0,14073.0,17274.0,335951.0,27787.0,308164.0
114,638,St. Joseph,61848.0,8596.0,4530.0,4066.0,53252.0,5538.0,47714.0
115,639,"Jackson, Tn",95846.0,16181.0,8944.0,7237.0,79665.0,8327.0,71338.0
116,640,Memphis,2756880.0,384195.0,211741.0,172454.0,2372685.0,266263.0,2106422.0
117,641,San Antonio,2933037.0,317968.0,149156.0,168812.0,2615069.0,231349.0,2383720.0
118,642,"Lafayette, La",226574.0,37097.0,21364.0,15733.0,189477.0,22262.0,167215.0
119,643,Lake Charles,103278.0,13759.0,7139.0,6620.0,89519.0,8979.0,80540.0
120,644,"Alexandria, La",88862.0,14887.0,8420.0,6467.0,73975.0,8760.0,65215.0
121,647,Greenwood-Greenville,65058.0,14793.0,8936.0,5857.0,50265.0,9339.0,40926.0
122,648,Champaign&Sprngfld-Decatur,391614.0,51354.0,25505.0,25849.0,340260.0,31708.0,308552.0
123,649,Evansville,702890.0,86173.0,51203.0,34970.0,616717.0,61840.0,554877.0
124,650,Oklahoma City,1259660.0,145611.0,73452.0,72159.0,1114049.0,102280.0,1011769.0
125,651,Lubbock,170451.0,21268.0,10032.0,11236.0,149183.0,20387.0,128796.0
126,652,Omaha,451736.0,39384.0,18139.0,21245.0,412352.0,26728.0,385624.0
127,656,Panama City,153489.0,21897.0,9989.0,11908.0,131592.0,12543.0,119049.0
128,657,Sherman-Ada,131709.0,17403.0,8450.0,8953.0,114306.0,11522.0,102784.0
129,658,Green Bay-Appleton,1972375.0,204359.0,90938.0,113421.0,1768016.0,123842.0,1644174.0
130,659,Nashville,1836187.0,214073.0,107338.0,106735.0,1622114.0,143915.0,1478199.0
131,661,San Angelo,799931.0,136969.0,71329.0,65640.0,662962.0,77582.0,585380.0
132,662,Abilene-Sweetwater,115014.0,13818.0,6471.0,7347.0,101196.0,9692.0,91504.0
133,669,Madison,419536.0,36306.0,14426.0,21880.0,383230.0,28951.0,354279.0
134,670,Ft. Smith-Fay-Sprngdl-Rgrs,333573.0,31701.0,17918.0,13783.0,301872.0,29828.0,272044.0
135,671,Tulsa,805769.0,106497.0,54088.0,52409.0,699272.0,64384.0,634888.0
136,673,Columbus-Tupelo-West Point,186341.0,24398.0,14944.0,9454.0,161943.0,22115.0,139828.0
137,675,Peoria-Bloomington,684601.0,83420.0,38808.0,44612.0,601181.0,44081.0,557100.0
138,676,Duluth-Superior,459340.0,35122.0,17123.0,17999.0,424218.0,28063.0,396155.0
139,678,Wichita-Hutchinson Plus,1600913.0,121199.0,61370.0,59829.0,1479714.0,128945.0,1350769.0
140,679,Des Moines-Ames,474551.0,47277.0,20570.0,26707.0,427274.0,30537.0,396737.0
141,682,Davenport-R.Island-Moline,311355.0,37279.0,19135.0,18144.0,274076.0,18321.0,255755.0
142,686,Mobile-Pensacola (Ft Walt),561334.0,68986.0,32533.0,36453.0,492348.0,45761.0,446587.0
143,687,Bismarck-Mnt-Dcknsn(Wlstn),639043.0,47489.0,23147.0,24342.0,591554.0,53504.0,538050.0
144,691,Huntsville-Decatur (Flor),1303235.0,167463.0,88865.0,78598.0,1135772.0,114658.0,1021114.0
145,692,Beaumont-Port Arthur,172728.0,25286.0,11660.0,13626.0,147442.0,16361.0,131081.0
146,693,Little Rock-Pine Bluff,576111.0,68777.0,36624.0,32153.0,507334.0,54880.0,452454.0
147,698,Montgomery-Selma,240821.0,42761.0,22636.0,20125.0,198060.0,21345.0,176715.0
148,702,La Crosse-Eau Claire,225818.0,20042.0,8756.0,11286.0,205776.0,16575.0,189201.0
149,705,Wausau-Rhinelander,193743.0,19247.0,8251.0,10996.0,174496.0,11675.0,162821.0
150,709,Tyler-Longview(Lfkn&Ncgd),271710.0,36590.0,17749.0,18841.0,235120.0,23904.0,211216.0
151,710,Hattiesburg-Laurel,111430.0,17418.0,10484.0,6934.0,94012.0,13926.0,80086.0
152,711,Meridian,68834.0,12188.0,7925.0,4263.0,56646.0,7586.0,49060.0
153,716,Baton Rouge,154100.0,22307.0,11202.0,11105.0,131793.0,12226.0,119567.0
154,717,Quincy-Hannibal-Keokuk,2449152.0,338327.0,149968.0,188359.0,2110825.0,176033.0,1934792.0
155,718,"Jackson, Ms",824983.0,115981.0,65761.0,50220.0,709002.0,85979.0,623023.0
156,722,Lincoln & Hastings-Krny,301804.0,23206.0,10579.0,12627.0,278598.0,23801.0,254797.0
157,724,Fargo,417483.0,29874.0,15394.0,14480.0,387609.0,32325.0,355284.0
158,725,Sioux Falls(Mitchell),617641.0,51408.0,26170.0,25238.0,566233.0,40213.0,526020.0
159,734,Jonesboro,87459.0,12229.0,6972.0,5257.0,75230.0,8149.0,67081.0
160,736,Bowling Green,88566.0,12108.0,7232.0,4876.0,76458.0,8932.0,67526.0
161,737,Mankato,119785.0,8216.0,3803.0,4413.0,111569.0,9218.0,102351.0
162,740,North Platte,782023.0,63895.0,29598.0,34297.0,718128.0,54883.0,663245.0
163,743,Anchorage,191777.0,21939.0,8567.0,13372.0,169838.0,10668.0,159170.0
164,744,Honolulu,467626.0,49838.0,17642.0,32196.0,417788.0,26834.0,390954.0
165,745,Fairbanks,38486.0,2244.0,708.0,1536.0,36242.0,1771.0,34471.0
166,746,Biloxi-Gulfport,140279.0,20319.0,11054.0,9265.0,119960.0,11885.0,108075.0
167,747,Juneau,13289.0,1097.0,289.0,808.0,12192.0,570.0,11622.0
168,749,Laredo,81071.0,19900.0,10907.0,8993.0,61171.0,8815.0,52356.0
169,751,Denver,1719948.0,107031.0,44083.0,62948.0,1612917.0,113648.0,1499269.0
170,752,Colorado Springs-Pueblo,381416.0,42048.0,17771.0,24277.0,339368.0,26472.0,312896.0
171,753,Phoenix (Prescott),2069393.0,195459.0,82039.0,113420.0,1873934.0,164375.0,1709559.0
172,754,Butte-Bozeman,79252.0,5937.0,2896.0,3041.0,73315.0,7926.0,65389.0
173,755,Great Falls,68148.0,8050.0,4160.0,3890.0,60098.0,6000.0,54098.0
174,756,Billings,120524.0,9260.0,3901.0,5359.0,111264.0,8673.0,102591.0
175,757,Boise,310134.0,27587.0,11933.0,15654.0,282547.0,21578.0,260969.0
176,758,Idaho Fals-Pocatllo(Jcksn),139850.0,14103.0,6392.0,7711.0,125747.0,11171.0,114576.0
177,759,Cheyenne-Scottsbluff,62062.0,4863.0,2482.0,2381.0,57199.0,4009.0,53190.0
178,760,Twin Falls,70787.0,6618.0,3366.0,3252.0,64169.0,5897.0,58272.0
179,762,Missoula,127879.0,13251.0,6243.0,7008.0,114628.0,10241.0,104387.0
180,764,Rapid City,105662.0,10510.0,5754.0,4756.0,95152.0,7316.0,87836.0
181,765,El Paso (Las Cruces),590305.0,108410.0,54917.0,53493.0,481895.0,55629.0,426266.0
182,766,Helena,132169.0,13133.0,6354.0,6779.0,119036.0,10577.0,108459.0
183,767,Casper-Riverton,58815.0,4113.0,2150.0,1963.0,54702.0,4266.0,50436.0
184,770,Salt Lake City,1069265.0,66542.0,28452.0,38090.0,1002723.0,69524.0,933199.0
185,771,Yuma-El Centro,120392.0,23707.0,11512.0,12195.0,96685.0,11906.0,84779.0
186,773,Grand Junction-Montrose,77233.0,7634.0,3558.0,4076.0,69599.0,6038.0,63561.0
187,789,Tucson (Sierra Vista),477908.0,62767.0,30106.0,32661.0,415141.0,41866.0,373275.0
188,790,Albuquerque-Santa Fe,814214.0,131867.0,65172.0,66695.0,682347.0,74902.0,607445.0
189,798,Glendive,4394.0,351.0,84.0,267.0,4043.0,437.0,3606.0
190,801,Eugene,264825.0,47420.0,19323.0,28097.0,217405.0,21885.0,195520.0
191,802,Eureka,63925.0,9019.0,4211.0,4808.0,54906.0,7350.0,47556.0
192,803,Los Angeles,8310944.0,730383.0,289996.0,440387.0,7580561.0,720665.0,6859896.0
193,807,San Francisco-Oak-San Jose,2634293.0,139410.0,49014.0,90396.0,2494883.0,170094.0,2324789.0
194,810,Yakima-Pasco-Rchlnd-Knnwck,256952.0,43635.0,16933.0,26702.0,213317.0,16249.0,197068.0
195,811,Reno,291053.0,28541.0,10444.0,18097.0,262512.0,20061.0,242451.0
196,813,Medford-Klamath Falls,188190.0,34936.0,14690.0,20246.0,153254.0,14300.0,138954.0
197,819,Seattle-Tacoma,2118555.0,205212.0,77714.0,127498.0,1913343.0,109780.0,1803563.0
198,820,"Portland, Or",1324415.0,179522.0,66819.0,112703.0,1144893.0,70287.0,1074606.0
199,821,"Bend, Or",77040.0,8224.0,3118.0,5106.0,68816.0,4799.0,64017.0
200,825,San Diego,1130703.0,79900.0,29432.0,50468.0,1050803.0,84766.0,966037.0
201,828,Monterey-Salinas,242667.0,19274.0,6514.0,12760.0,223393.0,18773.0,204620.0
202,839,Las Vegas,830282.0,102063.0,40708.0,61355.0,728219.0,65714.0,662505.0
203,855,Santabarbra-Sanmar-Sanluob,3966465.0,379949.0,149820.0,230129.0,3586516.0,398653.0,3187863.0
204,862,Sacramnto-Stkton-Modesto,1345352.0,148342.0,57571.0,90771.0,1197010.0,108697.0,1088313.0
205,866,Fresno-Visalia,626376.0,120593.0,55574.0,65019.0,505783.0,58455.0,447328.0
206,868,Chico-Redding,199091.0,23681.0,10782.0,12899.0,175410.0,22355.0,153055.0
207,881,Spokane,476194.0,64417.0,27673.0,36744.0,411777.0,37646.0,374131.0
