,DMA Code,DMA Name,universe,native,foreign_born
0,500,Portland-Auburn,1008275.0,970176.0,38099.0
1,501,New York,21240907.0,15272424.0,5968483.0
2,502,Binghamton,332676.0,315302.0,17374.0
3,503,Macon,671178.0,647639.0,23539.0
4,504,Philadelphia,8134792.0,7205704.0,929088.0
5,505,Detroit,8670610.0,7864635.0,805975.0
6,506,Boston (Manchester),6627031.0,5531374.0,1095657.0
7,507,Savannah,5681331.0,5066218.0,615113.0
8,508,Pittsburgh,2797681.0,2693145.0,104536.0
9,509,Ft. Wayne,2086731.0,1982745.0,103986.0
10,510,Cleveland-Akron (Canton),3811998.0,3635867.0,176131.0
11,511,"Washington, Dc (Hagrstwn)",8819112.0,7259222.0,1559890.0
12,512,Baltimore,4399795.0,3959080.0,440715.0
13,513,Flint-Saginaw-Bay City,1134339.0,1109251.0,25088.0
14,514,Buffalo,8005500.0,7373454.0,632046.0
15,515,Cincinnati,2396322.0,2284082.0,112240.0
16,516,Erie,396586.0,382938.0,13648.0
17,517,Charlotte,3313604.0,3014503.0,299101.0
18,518,Greensboro-H.Point-W.Salem,1823599.0,1684998.0,138601.0
19,519,"Charleston, Sc",921539.0,873722.0,47817.0
20,520,Augusta-Aiken,7058016.0,6697233.0,360783.0
21,521,Providence-New Bedford,1621099.0,1400809.0,220290.0
22,522,"Columbus, Ga (Opelika, Al)",591182.0,563853.0,27329.0
23,523,Burlington-Plattsburgh,890185.0,849712.0,40473.0
24,524,Atlanta,10164796.0,8966902.0,1197894.0
25,525,"Albany, Ga",409495.0,392139.0,17356.0
26,526,Utica,158612.0,153391.0,5221.0
27,527,Indianapolis,3056201.0,2870261.0,185940.0
28,528,Miami-Ft. Lauderdale,4722938.0,2581294.0,2141644.0
29,529,Louisville,1771333.0,1683892.0,87441.0
30,530,Tallahassee-Thomasville,755198.0,718647.0,36551.0
31,531,"Tri-Cities, Tn-Va",767333.0,753142.0,14191.0
32,532,Albany-Schenectady-Troy,1382384.0,1287509.0,94875.0
33,533,Hartford & New Haven,2626243.0,2311751.0,314492.0
34,534,Orlando-Daytona Bch-Melbrn,4303370.0,3680163.0,623207.0
35,535,"Columbus, Oh",2590889.0,2407576.0,183313.0
36,536,Youngstown,640629.0,629141.0,11488.0
37,537,Bangor,345066.0,335685.0,9381.0
38,538,"Rochester, Ny",11049719.0,8000470.0,3049249.0
39,539,Tampa-St. Pete (Sarasota),4959815.0,4313621.0,646194.0
40,540,Traverse City-Cadillac,4322032.0,4062684.0,259348.0
41,541,Lexington,1307826.0,1255186.0,52640.0
42,542,Dayton,1206540.0,1164210.0,42330.0
43,543,Springfield-Holyoke,698537.0,640205.0,58332.0
44,544,Norfolk-Portsmth-Newpt Nws,3531408.0,3260343.0,271065.0
45,545,Greenville-N.Bern-Washngtn,818097.0,780618.0,37479.0
46,546,"Columbia, Sc",1115891.0,1064994.0,50897.0
47,547,Toledo,1055610.0,1025383.0,30227.0
48,548,West Palm Beach-Ft. Pierce,2815218.0,2433067.0,382151.0
49,549,Watertown,1802569.0,1678810.0,123759.0
50,550,Wilmington,519510.0,498805.0,20705.0
51,551,Lansing,683491.0,644627.0,38864.0
52,552,Presque Isle,67431.0,64730.0,2701.0
53,553,Marquette,212321.0,207806.0,4515.0
54,554,Wheeling-Steubenville,324818.0,321082.0,3736.0
55,555,Syracuse,911319.0,854619.0,56700.0
56,556,Richmond-Petersburg,3305034.0,2973861.0,331173.0
57,557,Knoxville,2186994.0,2095279.0,91715.0
58,558,Lima,182353.0,179867.0,2486.0
59,559,Bluefield-Beckley-Oak Hill,2107373.0,2074827.0,32546.0
60,560,Raleigh-Durham (Fayetvlle),3263519.0,2952010.0,311509.0
61,561,Jacksonville,3424208.0,3150365.0,273843.0
62,563,Grand Rapids-Kalmzoo-B.Crk,2952080.0,2797527.0,154553.0
63,564,Charleston-Huntington,1107850.0,1096922.0,10928.0
64,565,Elmira (Corning),238562.0,231693.0,6869.0
65,566,Harrisburg-Lncstr-Leb-York,2034196.0,1931824.0,102372.0
66,567,Greenvll-Spart-Ashevll-And,12675779.0,11721522.0,954257.0
67,569,Harrisonburg,163860.0,157535.0,6325.0
68,570,Myrtle Beach-Florence,803661.0,767765.0,35896.0
69,571,Ft. Myers-Naples,6572873.0,4471339.0,2101534.0
70,573,Roanoke-Lynchburg,842148.0,814385.0,27763.0
71,574,Johnstown-Altoona-St Colge,741138.0,720761.0,20377.0
72,575,Chattanooga,4182448.0,3931080.0,251368.0
73,576,Salisbury,443131.0,413597.0,29534.0
74,577,Wilkes Barre-Scranton-Hztn,6010800.0,5663932.0,346868.0
75,581,Terre Haute,374522.0,367834.0,6688.0
76,582,"Lafayette, In",201997.0,179007.0,22990.0
77,583,Alpena,38827.0,38266.0,561.0
78,584,Charlottesville,205135.0,190306.0,14829.0
79,588,South Bend-Elkhart,3103648.0,2926987.0,176661.0
80,592,Gainesville,344069.0,312129.0,31940.0
81,596,Zanesville,86033.0,85330.0,703.0
82,597,Parkersburg,152061.0,150146.0,1915.0
83,598,Clarksburg-Weston,267899.0,265617.0,2282.0
84,600,Corpus Christi,600532.0,556665.0,43867.0
85,602,Chicago,12668009.0,10785771.0,1882238.0
86,603,Joplin-Pittsburg,635270.0,617651.0,17619.0
87,604,Columbia-Jefferson City,481908.0,464702.0,17206.0
88,605,Topeka,462557.0,442378.0,20179.0
89,606,Dothan,260574.0,253913.0,6661.0
90,609,St. Louis,5322246.0,5103643.0,218603.0
91,610,Rockford,466608.0,433106.0,33502.0
92,611,Rochestr-Mason City-Austin,375459.0,349259.0,26200.0
93,612,Shreveport,1500709.0,1447066.0,53643.0
94,613,Minneapolis-St. Paul,9212376.0,8404330.0,808046.0
95,616,Kansas City,2557393.0,2393893.0,163500.0
96,617,Milwaukee,2332331.0,2175684.0,156647.0
97,618,Houston,7345160.0,5693514.0,1651646.0
98,619,"Springfield, Mo",1626824.0,1577748.0,49076.0
99,622,New Orleans,1795282.0,1687204.0,108078.0
100,623,Dallas-Ft. Worth,8133670.0,6717278.0,1416392.0
101,624,Sioux City,3543934.0,3346578.0,197356.0
102,625,Waco-Temple-Bryan,14725592.0,12134526.0,2591066.0
103,626,Victoria,92044.0,85682.0,6362.0
104,627,Wichita Falls & Lawton,420692.0,398983.0,21709.0
105,628,Monroe-El Dorado,466173.0,457694.0,8479.0
106,630,Birmingham (Ann And Tusc),3986203.0,3851715.0,134488.0
107,631,Ottumwa-Kirksville,125417.0,118140.0,7277.0
108,632,Paducah-Cape Girard-Harsbg,2078512.0,2026314.0,52198.0
109,633,Odessa-Midland,493889.0,426458.0,67431.0
110,634,Amarillo,544505.0,478690.0,65815.0
111,635,Austin,2327874.0,1994200.0,333674.0
112,636,Harlingen-Wslco-Brnsvl-Mca,1368723.0,1026005.0,342718.0
113,637,Cedar Rapids-Wtrlo-Iwc&Dub,908416.0,863507.0,44909.0
114,638,St. Joseph,160578.0,155917.0,4661.0
115,639,"Jackson, Tn",245753.0,240922.0,4831.0
116,640,Memphis,7187362.0,6896354.0,291008.0
117,641,San Antonio,8729083.0,7555565.0,1173518.0
118,642,"Lafayette, La",606497.0,588521.0,17976.0
119,643,Lake Charles,272780.0,264606.0,8174.0
120,644,"Alexandria, La",242495.0,236504.0,5991.0
121,647,Greenwood-Greenville,175788.0,173767.0,2021.0
122,648,Champaign&Sprngfld-Decatur,949255.0,906004.0,43251.0
123,649,Evansville,1801958.0,1762924.0,39034.0
124,650,Oklahoma City,3352076.0,3107744.0,244332.0
125,651,Lubbock,471210.0,431151.0,40059.0
126,652,Omaha,1150846.0,1063920.0,86926.0
127,656,Panama City,392802.0,371811.0,20991.0
128,657,Sherman-Ada,350635.0,336420.0,14215.0
129,658,Green Bay-Appleton,4792855.0,4538152.0,254703.0
130,659,Nashville,4821036.0,4532136.0,288900.0
131,661,San Angelo,2395071.0,2069237.0,325834.0
132,662,Abilene-Sweetwater,313362.0,295924.0,17438.0
133,669,Madison,1014539.0,953465.0,61074.0
134,670,Ft. Smith-Fay-Sprngdl-Rgrs,884723.0,806426.0,78297.0
135,671,Tulsa,2106765.0,2007755.0,99010.0
136,673,Columbus-Tupelo-West Point,491566.0,481870.0,9696.0
137,675,Peoria-Bloomington,1766218.0,1623171.0,143047.0
138,676,Duluth-Superior,1134792.0,1094095.0,40697.0
139,678,Wichita-Hutchinson Plus,4085039.0,3793981.0,291058.0
140,679,Des Moines-Ames,1180898.0,1104162.0,76736.0
141,682,Davenport-R.Island-Moline,757358.0,725018.0,32340.0
142,686,Mobile-Pensacola (Ft Walt),1483893.0,1421891.0,62002.0
143,687,Bismarck-Mnt-Dcknsn(Wlstn),1534279.0,1483020.0,51259.0
144,691,Huntsville-Decatur (Flor),3377399.0,3246204.0,131195.0
145,692,Beaumont-Port Arthur,465142.0,429084.0,36058.0
146,693,Little Rock-Pine Bluff,1474389.0,1422992.0,51397.0
147,698,Montgomery-Selma,623512.0,605795.0,17717.0
148,702,La Crosse-Eau Claire,560868.0,545980.0,14888.0
149,705,Wausau-Rhinelander,446338.0,434155.0,12183.0
150,709,Tyler-Longview(Lfkn&Ncgd),764162.0,704267.0,59895.0
151,710,Hattiesburg-Laurel,298536.0,292410.0,6126.0
152,711,Meridian,176813.0,174285.0,2528.0
153,716,Baton Rouge,423645.0,412672.0,10973.0
154,717,Quincy-Hannibal-Keokuk,6304366.0,5198104.0,1106262.0
155,718,"Jackson, Ms",2198330.0,2146118.0,52212.0
156,722,Lincoln & Hastings-Krny,741889.0,691004.0,50885.0
157,724,Fargo,995867.0,955501.0,40366.0
158,725,Sioux Falls(Mitchell),1554281.0,1484334.0,69947.0
159,734,Jonesboro,220650.0,215049.0,5601.0
160,736,Bowling Green,228708.0,215447.0,13261.0
161,737,Mankato,312217.0,301532.0,10685.0
162,740,North Platte,1960350.0,1816647.0,143703.0
163,743,Anchorage,564246.0,519678.0,44568.0
164,744,Honolulu,1419638.0,1159969.0,259669.0
165,745,Fairbanks,105366.0,99906.0,5460.0
166,746,Biloxi-Gulfport,367323.0,353847.0,13476.0
167,747,Juneau,33399.0,30586.0,2813.0
168,749,Laredo,289090.0,215629.0,73461.0
169,751,Denver,4571290.0,4095942.0,475348.0
170,752,Colorado Springs-Pueblo,1011377.0,952780.0,58597.0
171,753,Phoenix (Prescott),5678907.0,4947126.0,731781.0
172,754,Butte-Bozeman,192345.0,187275.0,5070.0
173,755,Great Falls,168029.0,165179.0,2850.0
174,756,Billings,289034.0,283552.0,5482.0
175,757,Boise,838345.0,783463.0,54882.0
176,758,Idaho Fals-Pocatllo(Jcksn),397437.0,377140.0,20297.0
177,759,Cheyenne-Scottsbluff,153168.0,148327.0,4841.0
178,760,Twin Falls,198287.0,174580.0,23707.0
179,762,Missoula,314329.0,306076.0,8253.0
180,764,Rapid City,269199.0,263346.0,5853.0
181,765,El Paso (Las Cruces),1684377.0,1406639.0,277738.0
182,766,Helena,320189.0,314429.0,5760.0
183,767,Casper-Riverton,146103.0,143446.0,2657.0
184,770,Salt Lake City,3332635.0,3058766.0,273869.0
185,771,Yuma-El Centro,392511.0,281534.0,110977.0
186,773,Grand Junction-Montrose,195242.0,185773.0,9469.0
187,789,Tucson (Sierra Vista),1211512.0,1053285.0,158227.0
188,790,Albuquerque-Santa Fe,2146636.0,1985965.0,160671.0
189,798,Glendive,9986.0,9801.0,185.0
190,801,Eugene,644107.0,608545.0,35562.0
191,802,Eureka,163793.0,154189.0,9604.0
192,803,Los Angeles,24911947.0,17756770.0,7155177.0
193,807,San Francisco-Oak-San Jose,7420358.0,5084261.0,2336097.0
194,810,Yakima-Pasco-Rchlnd-Knnwck,741671.0,635995.0,105676.0
195,811,Reno,731902.0,641742.0,90160.0
196,813,Medford-Klamath Falls,447785.0,424274.0,23511.0
197,819,Seattle-Tacoma,5403387.0,4530420.0,872967.0
198,820,"Portland, Or",3438408.0,3047310.0,391098.0
199,821,"Bend, Or",191749.0,183454.0,8295.0
200,825,San Diego,3323970.0,2561710.0,762260.0
201,828,Monterey-Salinas,767694.0,582875.0,184819.0
202,839,Las Vegas,2279557.0,1782770.0,496787.0
203,855,Santabarbra-Sanmar-Sanluob,11939238.0,8202915.0,3736323.0
204,862,Sacramnto-Stkton-Modesto,3901858.0,3153659.0,748199.0
205,866,Fresno-Visalia,2052154.0,1616114.0,436040.0
206,868,Chico-Redding,516241.0,477513.0,38728.0
207,881,Spokane,1204500.0,1132650.0,71850.0
