,DMA Code,DMA Name,total,total_18_29_yrs_old,total_30_44_yrs_old,total_45_64_yrs_old,total_65_older
0,500,Portland-Auburn,805029.0,135740.0,172424.0,291121.0,205744.0
1,501,New York,14364461.0,2951740.0,3351468.0,4911436.0,3149817.0
2,502,Binghamton,260837.0,54968.0,49980.0,89378.0,66511.0
3,503,Macon,509286.0,111960.0,119748.0,169883.0,107695.0
4,504,Philadelphia,5994736.0,1226104.0,1393630.0,2072847.0,1302155.0
5,505,Detroit,6491449.0,1314364.0,1439406.0,2304569.0,1433110.0
6,506,Boston (Manchester),4853683.0,1018181.0,1093497.0,1695186.0,1046819.0
7,507,Savannah,4028686.0,918410.0,1002585.0,1346897.0,760794.0
8,508,Pittsburgh,2223900.0,424035.0,485735.0,762155.0,551975.0
9,509,Ft. Wayne,1526164.0,310523.0,371156.0,525893.0,318592.0
10,510,Cleveland-Akron (Canton),2933140.0,569155.0,644056.0,1022863.0,697066.0
11,511,"Washington, Dc (Hagrstwn)",6174515.0,1237139.0,1561621.0,2167616.0,1208139.0
12,512,Baltimore,3267158.0,650482.0,778419.0,1138820.0,699437.0
13,513,Flint-Saginaw-Bay City,886201.0,178450.0,186748.0,307782.0,213221.0
14,514,Buffalo,6108123.0,1248101.0,1397819.0,2064697.0,1397506.0
15,515,Cincinnati,1782446.0,367536.0,427380.0,619659.0,367871.0
16,516,Erie,307791.0,60846.0,65786.0,106255.0,74904.0
17,517,Charlotte,2391465.0,489145.0,581531.0,839251.0,481538.0
18,518,Greensboro-H.Point-W.Salem,1346357.0,271048.0,287888.0,474258.0,313163.0
19,519,"Charleston, Sc",699841.0,143333.0,175717.0,230689.0,150102.0
20,520,Augusta-Aiken,5302203.0,1101841.0,1231319.0,1776762.0,1192281.0
21,521,Providence-New Bedford,1219262.0,255986.0,271148.0,422647.0,269481.0
22,522,"Columbus, Ga (Opelika, Al)",443841.0,113552.0,105814.0,139670.0,84805.0
23,523,Burlington-Plattsburgh,711314.0,146002.0,148485.0,246917.0,169910.0
24,524,Atlanta,7146836.0,1561262.0,1774864.0,2469161.0,1341549.0
25,525,"Albany, Ga",299415.0,63525.0,72100.0,98615.0,65175.0
26,526,Utica,128387.0,26217.0,24328.0,43985.0,33857.0
27,527,Indianapolis,2237216.0,488879.0,541936.0,752895.0,453506.0
28,528,Miami-Ft. Lauderdale,2971366.0,574590.0,703524.0,1003836.0,689416.0
29,529,Louisville,1328366.0,261633.0,319896.0,463477.0,283360.0
30,530,Tallahassee-Thomasville,579399.0,159474.0,129423.0,174881.0,115621.0
31,531,"Tri-Cities, Tn-Va",613579.0,108389.0,127711.0,216359.0,161120.0
32,532,Albany-Schenectady-Troy,1082671.0,213696.0,230499.0,378187.0,260289.0
33,533,Hartford & New Haven,1978294.0,401955.0,423372.0,699711.0,453256.0
34,534,Orlando-Daytona Bch-Melbrn,3200609.0,612039.0,713501.0,1036424.0,838645.0
35,535,"Columbus, Oh",1910901.0,424214.0,491245.0,636355.0,359087.0
36,536,Youngstown,508530.0,90058.0,104742.0,178727.0,135003.0
37,537,Bangor,278072.0,48420.0,56959.0,99773.0,72920.0
38,538,"Rochester, Ny",7630505.0,1633509.0,1863072.0,2456837.0,1677087.0
39,539,Tampa-St. Pete (Sarasota),3732378.0,637651.0,780843.0,1231012.0,1082872.0
40,540,Traverse City-Cadillac,3278264.0,688480.0,706525.0,1128329.0,754930.0
41,541,Lexington,988722.0,219054.0,229379.0,332264.0,208025.0
42,542,Dayton,918231.0,183986.0,204299.0,312869.0,217077.0
43,543,Springfield-Holyoke,541437.0,128300.0,113840.0,179270.0,120027.0
44,544,Norfolk-Portsmth-Newpt Nws,2654216.0,578166.0,641108.0,882099.0,552843.0
45,545,Greenville-N.Bern-Washngtn,620474.0,169523.0,131617.0,184182.0,135152.0
46,546,"Columbia, Sc",843905.0,196460.0,194328.0,277044.0,176073.0
47,547,Toledo,807671.0,168997.0,181858.0,274577.0,182239.0
48,548,West Palm Beach-Ft. Pierce,2146689.0,322680.0,369509.0,671682.0,782818.0
49,549,Watertown,1374000.0,305358.0,296927.0,469394.0,302321.0
50,550,Wilmington,413351.0,77211.0,85073.0,137978.0,113089.0
51,551,Lansing,521878.0,130035.0,113530.0,169085.0,109228.0
52,552,Presque Isle,54236.0,8188.0,10175.0,19821.0,16052.0
53,553,Marquette,171227.0,35477.0,32119.0,56794.0,46837.0
54,554,Wheeling-Steubenville,261326.0,44796.0,52474.0,91937.0,72119.0
55,555,Syracuse,705172.0,164115.0,149757.0,238214.0,153086.0
56,556,Richmond-Petersburg,2445510.0,490376.0,595709.0,846339.0,513086.0
57,557,Knoxville,1675053.0,339584.0,370005.0,571838.0,393626.0
58,558,Lima,137809.0,27220.0,30862.0,47396.0,32331.0
59,559,Bluefield-Beckley-Oak Hill,1666842.0,304261.0,367515.0,570056.0,425010.0
60,560,Raleigh-Durham (Fayetvlle),2343514.0,514877.0,581119.0,784228.0,463290.0
61,561,Jacksonville,2615572.0,477884.0,579694.0,876092.0,681902.0
62,563,Grand Rapids-Kalmzoo-B.Crk,2212782.0,495111.0,500603.0,739949.0,477119.0
63,564,Charleston-Huntington,867958.0,154110.0,195219.0,303919.0,214710.0
64,565,Elmira (Corning),185316.0,32254.0,40073.0,66093.0,46896.0
65,566,Harrisburg-Lncstr-Leb-York,1539782.0,292409.0,349029.0,530061.0,368283.0
66,567,Greenvll-Spart-Ashevll-And,9379024.0,1952643.0,2147277.0,3179511.0,2099593.0
67,569,Harrisonburg,127339.0,22279.0,27159.0,44850.0,33051.0
68,570,Myrtle Beach-Florence,614432.0,113845.0,129809.0,211383.0,159395.0
69,571,Ft. Myers-Naples,4461491.0,813878.0,970786.0,1444289.0,1232538.0
70,573,Roanoke-Lynchburg,669850.0,125618.0,129303.0,234723.0,180206.0
71,574,Johnstown-Altoona-St Colge,592918.0,124487.0,119952.0,200812.0,147667.0
72,575,Chattanooga,3129669.0,660622.0,755787.0,1047986.0,665274.0
73,576,Salisbury,342424.0,60917.0,60697.0,115894.0,104916.0
74,577,Wilkes Barre-Scranton-Hztn,4630060.0,866652.0,996212.0,1636401.0,1130795.0
75,581,Terre Haute,288617.0,60810.0,64790.0,96421.0,66596.0
76,582,"Lafayette, In",143907.0,54429.0,28472.0,37766.0,23240.0
77,583,Alpena,31916.0,4415.0,5439.0,11767.0,10295.0
78,584,Charlottesville,155817.0,30039.0,34328.0,52481.0,38969.0
79,588,South Bend-Elkhart,2261172.0,477898.0,535549.0,765732.0,481993.0
80,592,Gainesville,266203.0,83877.0,54636.0,73474.0,54216.0
81,596,Zanesville,66243.0,13054.0,14932.0,23161.0,15096.0
82,597,Parkersburg,120156.0,20770.0,25771.0,42534.0,31081.0
83,598,Clarksburg-Weston,213251.0,39893.0,46127.0,72677.0,54554.0
84,600,Corpus Christi,427546.0,99188.0,106724.0,132549.0,89085.0
85,602,Chicago,8937951.0,1937975.0,2167609.0,3013030.0,1819337.0
86,603,Joplin-Pittsburg,474672.0,94538.0,107968.0,159365.0,112801.0
87,604,Columbia-Jefferson City,368796.0,91065.0,85524.0,116123.0,76084.0
88,605,Topeka,344331.0,88947.0,76160.0,104449.0,74775.0
89,606,Dothan,197595.0,37073.0,46397.0,67441.0,46684.0
90,609,St. Louis,4032209.0,801673.0,968856.0,1376361.0,885319.0
91,610,Rockford,342624.0,63759.0,75510.0,120263.0,83092.0
92,611,Rochestr-Mason City-Austin,274645.0,49135.0,63788.0,93615.0,68107.0
93,612,Shreveport,1108973.0,225488.0,260598.0,365367.0,257520.0
94,613,Minneapolis-St. Paul,6777441.0,1362290.0,1674211.0,2322410.0,1418530.0
95,616,Kansas City,1869223.0,397644.0,470001.0,620299.0,381279.0
96,617,Milwaukee,1728391.0,351434.0,410243.0,601132.0,365582.0
97,618,Houston,4539337.0,1037109.0,1226325.0,1494352.0,781551.0
98,619,"Springfield, Mo",1245894.0,257596.0,278318.0,407516.0,302464.0
99,622,New Orleans,1334340.0,264282.0,334407.0,452467.0,283184.0
100,623,Dallas-Ft. Worth,5246821.0,1167461.0,1384708.0,1770581.0,924071.0
101,624,Sioux City,2612577.0,545946.0,600338.0,863156.0,603137.0
102,625,Waco-Temple-Bryan,9593098.0,2327923.0,2577450.0,3024489.0,1663236.0
103,626,Victoria,65235.0,14281.0,16226.0,20269.0,14459.0
104,627,Wichita Falls & Lawton,312151.0,73580.0,74708.0,97305.0,66558.0
105,628,Monroe-El Dorado,352356.0,79274.0,82946.0,112578.0,77558.0
106,630,Birmingham (Ann And Tusc),3026422.0,608036.0,703264.0,1033301.0,681821.0
107,631,Ottumwa-Kirksville,93413.0,20881.0,18576.0,30251.0,23705.0
108,632,Paducah-Cape Girard-Harsbg,1587766.0,333609.0,355739.0,529638.0,368780.0
109,633,Odessa-Midland,314751.0,79839.0,89926.0,92444.0,52542.0
110,634,Amarillo,360164.0,81991.0,92091.0,110224.0,75858.0
111,635,Austin,1611238.0,370875.0,471531.0,504050.0,264782.0
112,636,Harlingen-Wslco-Brnsvl-Mca,713421.0,212452.0,181526.0,188502.0,130941.0
113,637,Cedar Rapids-Wtrlo-Iwc&Dub,681519.0,156909.0,152591.0,219050.0,152969.0
114,638,St. Joseph,121811.0,24343.0,28812.0,40948.0,27708.0
115,639,"Jackson, Tn",188067.0,37727.0,41332.0,64413.0,44595.0
116,640,Memphis,5349580.0,1130265.0,1254250.0,1783146.0,1181919.0
117,641,San Antonio,5843375.0,1300003.0,1528506.0,1885600.0,1129266.0
118,642,"Lafayette, La",445598.0,94554.0,113224.0,150086.0,87734.0
119,643,Lake Charles,201093.0,42881.0,50915.0,66627.0,40670.0
120,644,"Alexandria, La",181012.0,41003.0,45785.0,57168.0,37056.0
121,647,Greenwood-Greenville,132095.0,29447.0,31345.0,43334.0,27969.0
122,648,Champaign&Sprngfld-Decatur,723427.0,164179.0,159812.0,233704.0,165732.0
123,649,Evansville,1372889.0,265318.0,317861.0,481242.0,308468.0
124,650,Oklahoma City,2395633.0,552731.0,610894.0,751822.0,480186.0
125,651,Lubbock,328305.0,96939.0,79488.0,91939.0,59939.0
126,652,Omaha,813135.0,164985.0,208468.0,270675.0,169007.0
127,656,Panama City,305035.0,53832.0,72707.0,106353.0,72143.0
128,657,Sherman-Ada,258492.0,51362.0,58418.0,85292.0,63420.0
129,658,Green Bay-Appleton,3617433.0,734893.0,838324.0,1247368.0,796848.0
130,659,Nashville,3542364.0,781570.0,881597.0,1180078.0,699119.0
131,661,San Angelo,1537347.0,404999.0,368972.0,449417.0,313959.0
132,662,Abilene-Sweetwater,231279.0,54432.0,54325.0,69819.0,52703.0
133,669,Madison,766616.0,175336.0,182574.0,250232.0,158474.0
134,670,Ft. Smith-Fay-Sprngdl-Rgrs,619128.0,139676.0,154852.0,197570.0,127030.0
135,671,Tulsa,1547846.0,317776.0,368143.0,512156.0,349771.0
136,673,Columbus-Tupelo-West Point,371538.0,84028.0,84197.0,120963.0,82350.0
137,675,Peoria-Bloomington,1283180.0,260337.0,296983.0,435958.0,289902.0
138,676,Duluth-Superior,869744.0,155963.0,195561.0,307960.0,210260.0
139,678,Wichita-Hutchinson Plus,2928414.0,634545.0,692755.0,956265.0,644849.0
140,679,Des Moines-Ames,862919.0,188629.0,210519.0,279843.0,183928.0
141,682,Davenport-R.Island-Moline,571768.0,102814.0,126911.0,196014.0,146029.0
142,686,Mobile-Pensacola (Ft Walt),1130261.0,235270.0,265344.0,377720.0,251927.0
143,687,Bismarck-Mnt-Dcknsn(Wlstn),1159299.0,274650.0,284151.0,357099.0,243399.0
144,691,Huntsville-Decatur (Flor),2546658.0,541958.0,599542.0,860596.0,544562.0
145,692,Beaumont-Port Arthur,332260.0,69088.0,80155.0,110547.0,72470.0
146,693,Little Rock-Pine Bluff,1111486.0,227980.0,259489.0,368004.0,256013.0
147,698,Montgomery-Selma,473202.0,102840.0,107999.0,157659.0,104704.0
148,702,La Crosse-Eau Claire,432321.0,97563.0,94183.0,142772.0,97803.0
149,705,Wausau-Rhinelander,350403.0,60749.0,70928.0,126643.0,92083.0
150,709,Tyler-Longview(Lfkn&Ncgd),543688.0,116891.0,121323.0,173974.0,131500.0
151,710,Hattiesburg-Laurel,222872.0,49762.0,54734.0,71618.0,46758.0
152,711,Meridian,134100.0,28515.0,29761.0,44236.0,31588.0
153,716,Baton Rouge,312722.0,61716.0,81919.0,107470.0,61617.0
154,717,Quincy-Hannibal-Keokuk,4427253.0,965179.0,1112742.0,1426848.0,922484.0
155,718,"Jackson, Ms",1645789.0,346373.0,403997.0,551251.0,344168.0
156,722,Lincoln & Hastings-Krny,542842.0,124363.0,121871.0,170968.0,125640.0
157,724,Fargo,748474.0,169524.0,172468.0,237398.0,169084.0
158,725,Sioux Falls(Mitchell),1130431.0,232766.0,271096.0,369901.0,256668.0
159,734,Jonesboro,164478.0,35798.0,39909.0,52192.0,36579.0
160,736,Bowling Green,169049.0,42393.0,37736.0,54881.0,34039.0
161,737,Mankato,230473.0,52575.0,56197.0,74627.0,47074.0
162,740,North Platte,1401039.0,300415.0,341564.0,453651.0,305409.0
163,743,Anchorage,404866.0,94053.0,110846.0,134469.0,65498.0
164,744,Honolulu,1020083.0,206904.0,248325.0,318762.0,246092.0
165,745,Fairbanks,77686.0,23485.0,20583.0,22504.0,11114.0
166,746,Biloxi-Gulfport,275707.0,58146.0,68515.0,92750.0,56296.0
167,747,Juneau,25487.0,5025.0,6915.0,9053.0,4494.0
168,749,Laredo,145788.0,45526.0,38631.0,40581.0,21050.0
169,751,Denver,3318679.0,734132.0,899085.0,1070750.0,614712.0
170,752,Colorado Springs-Pueblo,754803.0,174140.0,190527.0,239898.0,150238.0
171,753,Phoenix (Prescott),3982588.0,855391.0,946502.0,1248726.0,931969.0
172,754,Butte-Bozeman,153048.0,38897.0,36320.0,46626.0,31205.0
173,755,Great Falls,126738.0,25353.0,29222.0,41143.0,31020.0
174,756,Billings,220595.0,39458.0,51916.0,74377.0,54844.0
175,757,Boise,603321.0,126482.0,157769.0,194898.0,124172.0
176,758,Idaho Fals-Pocatllo(Jcksn),274021.0,67743.0,70950.0,81675.0,53653.0
177,759,Cheyenne-Scottsbluff,115187.0,23556.0,27724.0,37421.0,26486.0
178,760,Twin Falls,128078.0,25709.0,31449.0,40956.0,29964.0
179,762,Missoula,247917.0,48529.0,56799.0,80908.0,61681.0
180,764,Rapid City,204723.0,39561.0,46686.0,68369.0,50107.0
181,765,El Paso (Las Cruces),1128075.0,275901.0,274263.0,340045.0,237866.0
182,766,Helena,249068.0,41059.0,53719.0,86781.0,67509.0
183,767,Casper-Riverton,109392.0,20720.0,27673.0,36445.0,24554.0
184,770,Salt Lake City,2210786.0,587634.0,630121.0,625510.0,367521.0
185,771,Yuma-El Centro,233941.0,63739.0,57230.0,59842.0,53130.0
186,773,Grand Junction-Montrose,148697.0,28257.0,33524.0,47866.0,39050.0
187,789,Tucson (Sierra Vista),884725.0,202945.0,187288.0,261767.0,232725.0
188,790,Albuquerque-Santa Fe,1576082.0,318449.0,369797.0,509808.0,378028.0
189,798,Glendive,7801.0,1359.0,1803.0,2577.0,2062.0
190,801,Eugene,508416.0,116561.0,105272.0,155248.0,131335.0
191,802,Eureka,127439.0,29946.0,29802.0,38782.0,28909.0
192,803,Los Angeles,16310507.0,3770219.0,4038815.0,5239191.0,3262282.0
193,807,San Francisco-Oak-San Jose,4945110.0,968730.0,1229826.0,1682133.0,1064421.0
194,810,Yakima-Pasco-Rchlnd-Knnwck,475375.0,114225.0,114212.0,145529.0,101409.0
195,811,Reno,534294.0,107258.0,122001.0,177276.0,127759.0
196,813,Medford-Klamath Falls,347163.0,57128.0,72319.0,113339.0,104377.0
197,819,Seattle-Tacoma,3864144.0,789257.0,997007.0,1279725.0,798155.0
198,820,"Portland, Or",2508905.0,493230.0,652345.0,822809.0,540521.0
199,821,"Bend, Or",149466.0,24750.0,37013.0,50094.0,37609.0
200,825,San Diego,2296505.0,569404.0,592291.0,700706.0,434104.0
201,828,Monterey-Salinas,470754.0,120557.0,103548.0,145621.0,101028.0
202,839,Las Vegas,1526604.0,319016.0,387917.0,496387.0,323284.0
203,855,Santabarbra-Sanmar-Sanluob,7636466.0,1859084.0,1910899.0,2379397.0,1487086.0
204,862,Sacramnto-Stkton-Modesto,2644442.0,583273.0,652861.0,851468.0,556840.0
205,866,Fresno-Visalia,1217502.0,326698.0,313531.0,352976.0,224297.0
206,868,Chico-Redding,387875.0,83853.0,82508.0,122349.0,99165.0
207,881,Spokane,899661.0,192230.0,202612.0,290180.0,214639.0
