,State Code,State Name,Universe,GDP,Median Household Income,Per Capita Income,Median Housing Value,In Labor Force,Broadband Any Source,Total Bachelors Or Higher,Total Spanish,Owner Occupied
0,AK,Alaska,703011.0,68712,77678.13,37004.49,271484.57,385851.0,202578.0,138639.0,10914.0,458461.0
1,AL,Alabama,4893186.0,306820,52762.16,28934.19,148299.53,2233209.0,1302978.0,877044.0,58334.0,3394120.0
2,AR,Arkansas,3011873.0,178238,50140.45,27724.35,135282.6,1366102.0,764742.0,482695.0,54899.0,1972535.0
3,AZ,Arizona,7102350.0,521027,62517.21,32506.99,247398.16,3175935.0,1963916.0,1462993.0,487148.0,4585072.0
4,CA,California,34935923.0,3944376,82394.4,39552.64,611807.02,17608894.0,9554101.0,8565906.0,2908005.0,19053440.0
5,CO,Colorado,5684926.0,532489,77036.54,39544.56,375195.85,2946354.0,1746159.0,1622853.0,241475.0,3803194.0
6,CT,Connecticut,3570549.0,347569,81545.55,45668.25,298443.82,1954364.0,1117449.0,996000.0,162889.0,2407368.0
7,DE,Delaware,967679.0,95414,70001.72,36574.28,259875.64,474774.0,280523.0,222043.0,23474.0,683590.0
8,FL,Florida,19734867.0,1622626,57722.9,32238.89,237406.06,9064459.0,5463932.0,4256127.0,1412948.0,12740693.0
9,GA,Georgia,10516579.0,821989,63000.55,32426.88,201712.55,5026306.0,2812396.0,2252662.0,267586.0,6719024.0
10,HI,Hawaii,1419638.0,109850,83913.3,37009.6,644226.46,746373.0,372790.0,334318.0,13486.0,861232.0
11,IA,Iowa,3150011.0,251481,62577.86,33021.2,156083.47,1670448.0,958476.0,617115.0,49162.0,2268701.0
12,ID,Idaho,1754367.0,122047,59253.86,29493.83,238296.63,794662.0,470087.0,328347.0,48158.0,1252406.0
13,IL,Illinois,12716164.0,1102071,70503.41,37305.62,215922.8,6690195.0,3777079.0,3085274.0,544494.0,8636520.0
14,IN,Indiana,6696893.0,507424,59640.88,30692.58,151176.9,3329372.0,1903414.0,1212794.0,119101.0,4700089.0
15,KS,Kansas,2912619.0,230727,63261.03,32797.73,164184.86,1509484.0,869434.0,648613.0,78102.0,1971922.0
16,KY,Kentucky,4461952.0,283273,53648.02,29123.36,148102.91,2093572.0,1256424.0,759332.0,47933.0,3006352.0
17,LA,Louisiana,4160394.0,315827,51075.19,29092.57,167283.4,1945342.0,1077369.0,668806.0,64269.0,2784866.0
18,MA,Massachusetts,6873003.0,750435,86060.98,45554.95,425716.36,3755481.0,2146969.0,2144142.0,229852.0,4428557.0
19,MD,Maryland,6037624.0,521159,89885.55,43352.32,330346.83,3267069.0,1806519.0,1703178.0,151545.0,4101829.0
20,ME,Maine,1340825.0,93145,60575.66,33773.97,204029.69,697342.0,430381.0,319175.0,6880.0,997993.0
21,MI,Michigan,9973907.0,670690,60642.32,32853.62,166716.21,4890342.0,2967062.0,2055131.0,122811.0,7258615.0
22,MN,Minnesota,5600166.0,480190,75230.84,38880.89,237707.45,3036696.0,1739929.0,1398575.0,78222.0,4137955.0
23,MO,Missouri,6124160.0,430369,58862.86,31839.25,164079.36,3062657.0,1790768.0,1250584.0,68110.0,4176465.0
24,MS,Mississippi,2981835.0,148242,47466.79,25443.94,126808.01,1349864.0,709100.0,451199.0,29149.0,2007250.0
25,MT,Montana,1061705.0,72037,57258.57,32463.19,248977.62,526388.0,319558.0,243496.0,8378.0,734700.0
26,NC,North Carolina,10386227.0,783202,58436.71,31993.26,194804.4,5019831.0,2936938.0,2273890.0,259297.0,6801084.0
27,ND,North Dakota,760394.0,74914,65356.38,36289.21,203960.72,417893.0,241434.0,152653.0,6821.0,498989.0
28,NE,Nebraska,1923826.0,180930,63831.69,33205.63,165130.33,1031005.0,587365.0,409315.0,51402.0,1312265.0
29,NH,New Hampshire,1355244.0,113589,78913.81,41234.39,271733.83,748779.0,445612.0,364685.0,12977.0,988912.0
30,NJ,New Jersey,8885418.0,817354,86410.01,44153.27,354810.95,4724242.0,2638798.0,2513062.0,496250.0,5803519.0
31,NM,New Mexico,2026662.0,133489,51174.83,27993.37,179110.88,931563.0,522383.0,392128.0,232833.0,1390565.0
32,NV,Nevada,3030281.0,247105,62280.3,32629.18,292496.21,1465320.0,834838.0,532997.0,199038.0,1740145.0
33,NY,New York,19285775.0,2189391,75302.67,41019.51,461826.34,10066483.0,5696680.0,5070503.0,1061362.0,10724837.0
34,OH,Ohio,11675275.0,890207,59344.26,32464.99,154223.8,5875255.0,3573310.0,2315539.0,122361.0,7869443.0
35,OK,Oklahoma,3949342.0,259544,54517.48,29872.93,140553.45,1869043.0,1069193.0,682902.0,94321.0,2589439.0
36,OR,Oregon,4176346.0,322887,67276.13,35392.94,336415.89,2026747.0,1287248.0,1013044.0,126602.0,2665051.0
37,PA,Pennsylvania,12794885.0,987637,65685.75,35517.77,198135.74,6523666.0,3846808.0,2906517.0,248619.0,8945528.0
38,RI,Rhode Island,1057798.0,79040,70141.2,37504.28,278732.71,568020.0,329698.0,259644.0,46373.0,664047.0
39,SC,South Carolina,5091517.0,330779,55780.6,30727.4,180552.49,2381900.0,1355180.0,1018306.0,81646.0,3513453.0
40,SD,South Dakota,879336.0,73262,59959.85,31414.82,172017.57,458023.0,256899.0,169991.0,8256.0,601648.0
41,TN,Tennessee,6772268.0,534217,56533.38,30868.7,188801.71,3225549.0,1845024.0,1308972.0,96914.0,4516734.0
42,TX,Texas,28635442.0,2636423,13082.97,32176.53,193272.54,13565038.0,7241477.0,5662178.0,2709979.0,18368930.0
43,UT,Utah,3151239.0,279568,74824.46,30985.85,312697.68,1480657.0,785488.0,648070.0,101456.0,2285876.0
44,VA,Virginia,8364459.0,722502,84527.58,41558.87,326536.39,4360454.0,2450488.0,2277171.0,197752.0,5595409.0
45,VT,Vermont,624340.0,44005,64930.86,35854.52,237538.61,342645.0,203319.0,175328.0,3439.0,447351.0
46,WA,Washington,7512465.0,820074,79331.42,40837.3,402016.83,3685819.0,2323046.0,1907238.0,206861.0,4863193.0
47,WI,Wisconsin,5806975.0,422896,64349.25,34450.11,192674.54,3087719.0,1819844.0,1226547.0,107520.0,4001455.0
48,WV,West Virginia,1807426.0,101685,48952.41,27346.19,129842.0,805727.0,518674.0,273425.0,10365.0,1324203.0
49,WY,Wyoming,581348.0,51210,65916.44,34414.78,249829.47,310748.0,182316.0,110699.0,13123.0,418478.0
